Var   HST   RA(2000.0)   Dec(2000.0)  dist    dist     dist    dist   OGLE-RRLYR-ID         OGLE_ID_I        P             dP          OGLE_ID_V  Type    V       Vmax    Vmin    I       Imax   Imin     Amp_I  Remarks
V311  -     18:55:02.20  -30:28:42.5   0.257    2.859   0.314  0.034  -                     BLG708.09.15221   24.          -           14621      SR      15.520  15.492  15.561  13.996  13.972  14.028  0.056  -
V312  -     18:55:03.08  -30:28:28.4   0.323    3.587   0.394  0.043  -                     cM54.1199          0.767123    0.000047    18231      v       19.088  18.877  19.234  17.434  17.304  17.589  0.285  -
V313  -     18:55:03.42  -30:29:13.4   0.432    4.802   0.527  0.058  -                     BLG708.09.15178   85.          -           14330      SR      15.506  15.470  15.543  13.870  13.832  13.929  0.097  -
V314  -     18:55:03.49  -30:28:35.7   0.200    2.219   0.244  0.027  -                     BLG708.09.21784    -           -           18153      Irr     17.191  17.125  17.283  16.421  16.261  16.649  0.388  -
V315  -     18:55:03.49  -30:29:21.2   0.563    6.252   0.686  0.075  -                     cM54.1016          -           -           14324      Irr     15.667  15.634  15.705  16.547  16.225  17.279  1.054  -
V316  -     18:55:03.51  -30:30:35.9   1.807   20.079   2.204  0.241  -                     BLG708.09.18247    7.478826    0.000075    19787      EB      -       18.854  19.938  -       17.901  18.182  0.281  -
V317  -     18:55:03.56  -30:28:00.0   0.793    8.813   0.967  0.106  -                     BLG708.09.15109    -           -           14381      Irr     15.386  15.310  15.486  13.670  13.845  13.791  0.054  -
V318  -     18:55:03.61  -30:28:53.6   0.118    1.314   0.144  0.016  -                     BLG708.09.15950  125.          -           -          SR      -       -       -       14.651  14.530  14.885  0.355  -
V319  -     18:55:03.81  -30:28:34.1   0.246    2.735   0.300  0.033  -                     cM54.858           -           -           18178      Irr     17.120  17.078  17.178  17.438  17.035  17.788  0.753  -
V320  -     18:55:03.83  -30:28:45.3   0.114    1.264   0.139  0.015  -                     BLG708.09.15211   29.58285     0.00030     14603      Ell     -       14.933  15.754  -       13.709  13.761  0.052  -
V321  -     18:55:03.84  -30:28:19.2   0.484    5.381   0.591  0.065  OGLE-BLG-RRLYR-37594  BLG708.09.21963    0.3537106   0.0000015   16451      RRd     17.619  -       -       17.605  -       -       0.240  P2=0.47670535 d, Amp_I2=0.080 mag
V322  -     18:55:04.38  -30:28:50.0   0.230    2.556   0.281  0.031  -                     BLG708.09.15614  145.          -           15052      SR      16.862  16.818  16.888  15.304  15.115  15.538  0.423  -
V323  -     18:55:04.81  -30:28:06.0   0.762    8.463   0.929  0.102  -                     cM54.468           0.27823499  0.00000103  18711      RRc     19.339  -       -       17.444  -       -       0.070  -
V324  -     18:55:04.89  -30:28:18.9   0.583    6.480   0.711  0.078  -                     cM54.453           0.58936739  0.00000276  16453      RRab    18.125  -       -       17.431  -       -       0.430  -
V325  -     18:55:05.13  -30:28:42.5   0.397    4.407   0.484  0.053  -                     cM54.364           -           -           14616      v       15.625  15.551  15.667  16.015  15.590  16.470  0.780  -
V326  -     18:55:05.27  -30:29:24.6   0.746    8.293   0.910  0.100  -                     BLG708.09.15167    -           -           14515      v       15.846  15.824  15.871  14.305  14.280  14.330  0.050  -
V327  -     18:55:05.45  -30:28:45.3   0.458    5.091   0.559  0.061  -                     BLG708.09.15210    -           -           14352      Irr     15.487  15.447  15.054  13.785  13.735  13.884  0.149  -
V328  -     18:55:05.91  -30:28:11.2   0.822    9.129   1.002  0.110  -                     BLG708.09.15105    -           -           14379      Irr     15.110  15.053  15.151  13.354  13.354  13.402  0.048  -
V329  -     18:55:06.24  -30:28:43.2   0.631    7.012   0.770  0.084  -                     BLG708.09.15088   65.          -           16254      SR      15.758  15.668  15.859  13.729  13.687  13.850  0.163  -
V330  -     18:55:07.73  -30:29:08.3   1.009   11.215   1.231  0.135  OGLE-BLG-RRLYR-37621  BLG708.09.18678    0.63090313  0.00000336  16064      RRab    18.195  -       -       17.481  -       -       0.299  -
V331  -     18:55:09.74  -30:31:37.8   3.156   35.069   3.849  0.421  -                     BLG708.09.16539    0.97        -           17312      v       18.650  18.606  18.695  17.395  17.330  17.453  0.123  -
V332  -     18:54:34.98  -30:26:21.0   6.579   73.102   8.023  0.877  -                     BLG708.19.1036     0.266374    0.000003    1037       EW      -       18.055  19.005  -       17.407  17.608  0.201  -
V333  -     18:55:10.26  -30:33:40.6   5.108   56.753   6.229  0.681  -                     BLG708.09.15062    -           -           14303      Irr     15.169  15.124  15.228  13.415  13.371  13.462  0.091  -
V334  -     18:55:13.18  -30:29:02.4   2.137   23.740   2.606  0.285  -                     BLG708.09.15453    -           -           14546      v       16.127  16.106  16.149  14.719  14.694  14.743  0.049  -
V335  -     18:55:13.59  -30:26:04.2   3.507   38.966   4.277  0.468  -                     BLG708.18.11       -           -           52         Irr     15.304  15.281  15.327  13.618  13.575  13.667  0.092  -
V336  -     18:55:30.23  -30:32:09.2   6.699   74.429   8.169  0.893  -                     BLG708.08.14526    0.505567    0.000005    13419      Ell     -       16.117  17.153  -       15.761  16.066  0.305  -
V337  -     18:55:15.27  -30:33:59.6   5.802   64.467   7.076  0.774  -                     BLG708.09.23772    1.081813    0.000011    19129      EB      -       18.829  21.699  -       19.226  20.396  1.170  -
V338  -     18:55:23.78  -30:34:44.7   7.404   82.264   9.029  0.987  OGLE-BLG-RRLYR-37662  BLG708.08.14712    0.6386762   0.0000036   13741      RRab    18.160  -       -       17.330  -       -       0.216  -
V339  -     18:55:25.53  -30:26:12.8   5.436   60.395   6.629  0.725  -                     BLG708.17.5        -           -           192        Irr     16.914  16.771  17.112  13.245  13.043  13.422  0.379  -
V340  -     18:55:27.07  -30:24:03.2   6.975   77.504   8.507  0.930  -                     BLG708.17.57       -           -           111        Irr     15.956  15.913  15.997  13.949  13.916  13.984  0.068  -
V341  -     18:55:29.13  -30:33:09.4   7.064   78.493   8.615  0.942  -                     BLG708.08.14792    0.89        -           13817      v       18.234  18.186  18.279  16.838  16.783  16.894  0.111  -
V342  -     18:55:29.58  -30:24:30.7   7.096   78.843   8.653  0.946  -                     BLG708.17.56       -           -           109        v       15.880  15.865  15.899  14.400  14.390  14.426  0.036  -
V343  -     18:55:30.46  -30:25:00.0   6.970   77.450   8.501  0.929  -                     BLG708.17.4228     0.250211    0.000003    3925       EW      -       20.253  -       -       19.279  20.206  0.927  -
V344  -     18:55:32.63  -30:25:26.2   7.152   79.468   8.722  0.954  -                     BLG708.17.47       -           -           96         v       15.953  15.936  15.982  14.408  14.382  14.432  0.050  -
V345  -     18:55:33.61  -30:26:12.9   7.017   77.966   8.557  0.936  -                     BLG708.17.7748     0.237193    0.000002    12614      EB      -       22.008  -       -       19.873  21.300  1.427  -
V346  -     18:55:25.56  -30:26:15.1   5.422   60.247   6.613  0.723  -                     BLG708.17.1898     -           -           -          v       -       -       -       -       -       -       -      -
V347  -     18:55:36.68  -30:30:28.4   7.377   81.972   8.997  0.984  -                     BLG708.08.19842    0.472516    0.000006    18442      v       20.405  20.198  20.585  19.893  19.484  20.381  0.897  -
